com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
ALASKANS FOR DON YOUNG,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00012229&tabIndex=3,Q1,H,P,Q,2504 FAIRBANKS ST,ANCHORAGE,AK,995032822.00,"BOHNERT, ROBERT",C00012229,2020.00,51150.00,4242.27,55392.27,,,58500.00,,,113892.27,,,,,,,,71528.54,,,,8.51,186229.32,,48028.63,,,,800.00,,,,,,,,,,,,,,,,,500.00,,48528.63,113892.27,47228.63,116720.12,254420.81,,,43466.00,43555.00,,H6AK00045,,,,,,,,,,,,,,,,,,,,,
ALBERTSON FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00615518&tabIndex=3,Q1,H,P,Q,75 PLEASANTVIEW DRIVE,GRANVILLE,OH,43023.00,"BOYKIN, CARRIE ESTHER MS.",C00615518,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085.44,2085.44,,,43466.00,43555.00,,H6OH12127,,,,,,,,,,,,,,,,,,,,,
ALEX BALKIN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00694075&tabIndex=3,Q1,H,P,T,1501 SAN ELIJO RD SOUTH #104,SAN MARCOS,CA,92078.00,"JACKSON, SUE",C00694075,2020.00,41655.00,3171.00,44826.00,805.00,,,,,44826.00,805.00,,,,,,,,,,,,44829.95,,37416.00,,,,3.95,,,,,,,,,,,,,,,,,,,38221.00,44021.00,37412.05,,6608.95,,,43466.00,43555.00,,H0CA50103,,,,,,,,,,,,,,,,,,,,,
ALEX BALKIN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00694075&tabIndex=3,TER,H,P,T,1501 SAN ELIJO RD SOUTH #104,SAN MARCOS,CA,92078.00,"JACKSON, SUE",C00694075,2020.00,,,,6505.00,,,,,,6505.00,,,,,,,,,,,,,,103.95,,,,,,,,,,,,,,,,,,,,,,,6608.95,-6505.00,103.95,6608.95,,,,43556.00,43567.00,,H0CA50103,,,,,,,,,,,,,,,,,,,,,
ALEX MOONEY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00629949&tabIndex=3,Q1,H,P,Q,PO BOX 1863,MARTINSBURG,WV,25402.00,"DEHAVEN, BETTY",C00629949,2020.00,150758.00,12372.98,163130.98,,,41750.00,,,204880.98,,,,,,,,71528.55,,,,8205.09,284614.62,,46626.61,,,,,,,,,,,,,,,,,,,,,,,46626.61,204880.98,46626.61,1065033.15,1303021.16,,,43466.00,43555.00,,H4WV02080,,,,,,,,,,,,,,,,,,,,,
ALEXANDER FOR SENATE 2020 INC,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00383745&tabIndex=3,Q1,S,P,Q,228 S WASHINGTON STREET SUITE 115,ALEXANDRIA,VA,223145404.00,KEITH A DAVIS,C00383745,2020.00,5000.00,,5000.00,33700.00,,,61800.00,,5000.00,95500.00,,,,,,,,,,,14.17,5014.17,,58889.41,,,,,,,,,,,,,,,,,,,,,,,154389.41,-90500.00,58889.41,341645.59,192270.35,,,43466.00,43555.00,,S2TN00058,,,,,,,,,,,,,,,,,,,,,
ALEXANDRA CHANDLER FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00660597&tabIndex=3,Q1,H,P,Q,180 LAWRENCE STREET,HAVERHILL,MA,1830.00,"CHANDLER, STEVEN",C00660597,2020.00,,,,,,,,,,,,,,,,,,,,,,,,307.53,,,,,,,,,,,,,,,,,,,,,,,307.53,,307.53,6286.73,5979.20,270.00,,43466.00,43555.00,,H8MA03163,,,,,,,,,,,,,,,,,,,,,
ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00639591&tabIndex=3,Q1,H,P,Q,PO BOX 680080,CORONA,NY,11368.00,"LLEWELLYN, FRANK",C00639591,2020.00,135467.21,590880.40,726347.61,1032.00,,,,,726347.61,1032.00,,,,,,,,,,,,727941.77,,253985.36,,,,1594.16,,,,,,,,,,,,,,,,,11800.00,,266817.36,725315.61,252391.20,365236.59,826361.00,1816.06,186.44,43466.00,43555.00,,H8NY15148,,,,,,,,,,,,,,,,,,,,,
ALEXIS FRANK FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00635227&tabIndex=3,Q1,H,P,Q,2119 DUTCHMAN DR APT 201,ROCK HILL,SC,29732.00,"FRANK, ALEXIS",C00635227,2020.00,,,,,,,,,,,,,,,,,,,,,,,,105.00,,,,,,,,,,,,,,,,,,,,,,,105.00,,105.00,9788.23,9683.23,,,43466.00,43555.00,,H8SC05182,,,,,,,,,,,,,,,,,,,,,
ALISON FOR VIRGINIA,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00647024&tabIndex=3,Q1,H,P,Q,PO BOX 1075,MCLEAN,VA,22101.00,"STEPHAN, AMY",C00647024,2020.00,,,,,,,,,,,,,,,,,,,,,,,,868.50,,,,,,,,,,,,,,,,,,,,,,,868.50,,868.50,1037.10,168.60,,,43466.00,43555.00,,H8VA10122,,,,,,,,,,,,,,,,,,,,,
ALISON HARTSON 2018,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00660498&tabIndex=3,Q1,S,P,Q,P. O. BOX 3817,SAN LEANDRO,CA,94578.00,"HARTSON, ALISON",C00660498,2020.00,,,,,,,,,,,,,,,,,,,,,,,,1122.64,,,,,,,,,,,,,,,,,,,,,,,1122.64,,1122.64,2923.53,1800.89,118908.05,,43466.00,43555.00,,S8CA00416,,,,,,,,,,,,,,,,,,,,,
ALLEN ELLISON FOR CONGRESS CAMPAIGN COMMITTEE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00574236&tabIndex=3,Q1,H,P,A,134 N RIDGEWOOD DRIVE,SEBRING,FL,33870.00,"ELLISON, ALLEN",C00574236,2020.00,,,,,,,,,,,,,,,,,,,,,,,,850.66,,,,,,,,,,,,,,,,,,,,,,,850.66,,850.66,917.72,67.06,,,43466.00,43555.00,,H0FL17159,,,,,,,,,,,,,,,,,,,,,
ALLEN FOR KANSAS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00617746&tabIndex=3,Q1,H,P,Q,110 E WATERMAN ST STE 150,WICHITA,KS,672023761.00,"ALLEN, MIRANDA",C00617746,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18862.72,18862.72,58129.82,,43466.00,43555.00,,H6KS04173,,,,,,,,,,,,,,,,,,,,,
ALLEN THOMAS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00698753&tabIndex=3,12S,H,P,Q,434 FAYETTEVILLE ST STE 2020,RALEIGH,NC,27601.00,"FALMLEN, SCOTT",C00698753,2020.00,44807.10,7583.00,52390.10,20.00,,3000.00,,,55390.10,20.00,,,200000.00,,200000.00,,,,,,,255390.10,,114269.63,,,,,,,,,,,,,,,,,,,,,2200.00,,116489.63,55370.10,114269.63,,138900.47,200000.00,,43466.00,43565.00,,H0NC03248,,,,,,,,,,,,,,,,,,,,,
ALLEN WEH FOR SENATE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00555573&tabIndex=3,Q1,S,P,Q,3700 RIO GRANDE BLVD NW SUITE 1 C/O CSI AVIATION INC,ALBUQUERQUE,NM,87107.00,REBECCA SANCHEZ,C00555573,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4985.00,4985.00,455000.00,,43466.00,43555.00,,S4NM00100,,,,,,,,,,,,,,,,,,,,,
ALMA ADAMS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00546358&tabIndex=3,Q1,H,P,Q,P.O. BOX 31473,CHARLOTTE,NC,28231.00,"WINSTEAD, ARTHUR M JR",C00546358,2020.00,10900.00,415.00,11315.00,500.00,,53500.00,1000.00,,64815.00,1500.00,,,,,,,,,,,,64815.00,,30429.87,,,,,,,,,,,,,,,,,,,,,,,31929.87,63315.00,30429.87,174431.37,207316.50,,,43466.00,43555.00,,H4NC12100,,,,,,,,,,,,,,,,,,,,,
ALVIN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00667758&tabIndex=3,Q1,H,P,Q,PO BOX 3037,JACKSONVILLE,FL,32206.00,"HENRICHSEN, NLH",C00667758,2020.00,,,,,,,,,,,,,,,,,,,,,,1800.00,,,,,,1800.00,,,,,,,,,,,,,,,,,,,,,-1800.00,2948.79,4748.79,42454.20,,43466.00,43555.00,,H8FL05140,,,,,,,,,,,,,,,,,,,,,
ALYSE FOR ALASKA,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00665711&tabIndex=3,Q1,H,P,Q,P.O. BOX 90020,ANCHORAGE,AK,99509.00,"PETTERSON, JAY",C00665711,2020.00,,,,,,,,,,,,,,,,,,,,,,30376.65,,9095.03,,,,30376.65,,,,,,,,,,,,,,,,,,,9095.03,,-21281.62,6245.09,27526.71,,,43466.00,43555.00,,H8AK00140,,,,,,,,,,,,,,,,,,,,,
AMERICANS FOR DOUG TRUAX,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00546457&tabIndex=3,Q1,S,P,Q,1901 BUTTERFIELD RD STE 120,DOWNERS GROVE,14.00,60515.00,SHERRY GASKILL,C00546457,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-370.00,-370.00,52710.00,,43466.00,43555.00,,S4IL00438,,,,,,,,,,,,,,,,,,,,,
AMERICANS FOR JOE CIARDULLO,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00679936&tabIndex=3,TER,H,P,T,PO BOX 318,NEW CITY,NY,10956.00,"CIARDULLO, JOSEPH JOHN",C00679936,2020.00,,,,,,,,,,,,42.30,,,,42.30,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,62.30,,20.00,72.30,10.00,,,43466.00,43555.00,,H8NY17110,,,,,,,,,,,,,,,,,,,,,
AMIE HOEBER FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00582296&tabIndex=3,Q1,H,P,Q,PO BOX 61438,POTOMAC,MD,20859.00,"MARSTON, CHRIS",C00582296,2020.00,,,,,,,,6000.00,6000.00,,,,,,,,,,,,,6002.99,,12497.55,,,,2.99,,,,,,,,,,,,,,,,,,,12497.55,6000.00,12494.56,7605.89,1111.33,450000.00,,43466.00,43555.00,,H6MD06212,,,,,,,,,,,,,,,,,,,,,
AMMAR CAMPA FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00635888&tabIndex=3,Q1,H,P,Q,5429 MADISON AVENUE,SACRAMENTO,CA,95841.00,"LEWIS, DENISE",C00635888,2020.00,293288.00,55614.46,348902.46,263.67,,1500.00,,,350402.46,263.67,,,,,,,,,,,11.75,350414.21,,79023.99,,,,,,,,,,,,,,,,,,,,,607.75,,79895.41,350138.79,79023.99,2990.12,273508.92,17641.41,,43466.00,43555.00,,H8CA50098,,,,,,,,,,,,,,,,,,,,,
AMODEI FOR NEVADA,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00496760&tabIndex=3,Q1,H,P,Q,503 N DIVISION ST,CARSON CITY,NV,89703.00,"NEILON, NICOLA",C00496760,2020.00,12099.00,1300.00,13399.00,1000.00,,34000.00,,,47399.00,1000.00,,,,,,,,,,,,49060.90,,111381.68,,,,1661.90,,,,,,,,,,,,,,,,,,,112381.68,46399.00,109719.78,292933.19,229612.41,9000.00,,43466.00,43555.00,,H2NV02395,,,,,,,,,,,,,,,,,,,,,
AMY FOR THE PEOPLE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00649707&tabIndex=3,Q1,H,P,Q,7601 FINISHING TOUCH CT,LAS VEGAS,NV,89149.00,"MCKINNEY, JOSIAH",C00649707,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17433.35,,43466.00,43555.00,,H8NV04018,,,,,,,,,,,,,,,,,,,,,
AMY MCGRATH FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00646745&tabIndex=3,Q1,H,P,Q,P.O. BOX 875,GEORGETOWN,KY,40324.00,"HENDERSON, ERIK",C00646745,2020.00,,,,2282.97,,,,,,2282.97,,,,,,,429.70,,,,,4486.63,,127118.54,,,,4056.93,,,,,,,,,,,21734.40,,,,,,2000.00,,153135.91,-2282.97,123061.61,267956.28,119307.00,,,43466.00,43555.00,,H8KY06164,,,,,,,,,,,,,,,,,,,,,
ANDE FOR MAINE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00603738&tabIndex=3,TER,H,P,T,48 DEER BROOK FARM,NORTH YARMOUTH,ME,4097.00,"WENDLAND, EUGENE L.",C00603738,2020.00,,,,810.00,,,,,,810.00,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,950.00,,1780.00,-810.00,20.00,1781.35,1.35,,,43466.00,43555.00,,H6ME01215,,,,,,,,,,,,,,,,,,,,,
ANDRE CARSON FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00442921&tabIndex=3,Q1,H,P,Q,P.O. BOX 1863,INDIANAPOLIS,IN,46206.00,"MORIARTY, TIMOTHY J.",C00442921,2020.00,19850.00,1156.48,21006.48,,3675.00,34500.00,,,59181.48,,,,,,,,,,,,111.26,60889.72,,65562.07,,,,1596.98,,,,,,,,,,,,,,,,,,,65562.07,59181.48,63965.09,850497.21,845824.86,,,43466.00,43555.00,,H8IN07184,,,,,,,,,,,,,,,,,,,,,
